short_name,character,unicode,categories,search_keyword
flight,,/e075,transport,"plane,trip,travel,holiday,flight,Aeroplane,transit,shipment"
filter,,/e076,actions,"filter,organise,aggregate,data"
favorite-list,,/e077,actions,"favorite,favourite,star,menu,list"
factory,,/e078,"objects,places","factory,production,supplier,manufacturing"
endoscopy,,/e079,"medical,objects","endoscopy,medical,procedure"
employee-pane,,/e07a,people,"user,person,employee,member,operator,representative,profile,me"
employee-approvals,,/e07b,"people,status","person,accept,approval,employee,hr,human resources"
email-read,,/e07c,actions,"mail,letter,e-mail,envelope,open,read"
electrocardiogram,,/e07d,medical,"electrocardiogram,heart,scan,monitor,medical"
documents,,/e07e,documents,"document,page,file,attachment,documents"
decision,,/e07f,people,"hand shake,decision,hands,agreement,colleagues,contract"
database,,/e080,objects,"database,big data,cube,complex,complicated,simple,information,backend"
customer-history,,/e081,people,"person,history,customer,user,clock,account"
customer,,/e082,people,"person,individual,user,customer,human,circle,profile,me"
credit-card,,/e083,objects,"credit card,master-card,money,debit,order,buy,purchase,shopping,book online"
create-entry-time,,/e084,"actions,documents","document,page,file,attachment,timesheet,clock,hours,days,workday,create entry time,add,plus,additional,another,more"
contacts,,/e085,objects,"customers,contacts,address,email,e-mail,phone book,directory,phone numbers,companies"
compare,,/e086,objects,"compare,law,legal,justice,scale,measure,weight,balance,compare,comparison"
clinical-order,,/e087,"documents,medical","document,page,file,text,medical,clinical"
chain-link,,/e088,actions,"link,chain,hyperlink"
pull-down,,/e089,"actions,arrows","navigation,pull down,refresh,arrow"
cargo-train,,/e08a,transport,"train,cargo,delivery,transit"
car-rental,,/e08b,transport,"car,auto,rental,company car,hire,vehicle,transportation"
business-card,,/e08c,"objects,people","business card,contact,networking,colleague,person,address,identification,details,profile"
bar-code,,/e08d,"documents,objects","bar code,document,file,scan,verify"
folder-blank,,/e08e,folder,"folder,directory,directory,library"
passenger-train,,/e08f,transport,"train,public transportation,passenger"
question-mark,,/e090,status,"message,question mark,neutral,notifications,status"
world,,/e091,"objects,places","globe,world,goegraphical,earth,planet,international,global"
iphone,,/e092,"devices,objects","iphone,phone,smart phone,portrait,tablet,mobile,responsive,cozy"
ipad,,/e093,"devices,objects","ipad,tablet,portrait,mobile,responsive,cozy"
warning,,/e094,status,"warning,exclamation mark,indicator,information"
sort,,/e095,"actions,arrows","sort,aggregate,ascending,descending,arrow"
course-book,,/e096,objects,"education,course,learning,e book,bookmark,open,knowledge,course book,program"
course-program,,/e097,documents,"document,page,file,attachment,course,education,course,learning,e book,bookmark,open,knowledge,coursebook,program"
add-coursebook,,/e098,"actions,objects","education,course,learning,e book,bookmark,open,knowledge,course book,program,add,plus,additional,another,more"
print,,/e099,"actions,devices,objects","print,printer,send to print,hard copy,output,paper,document,file"
save,,/e09a,"actions,objects","save,diskette,floppy disc,local disc,hard disc"
play,,/e09b,actions,play
pause,,/e09c,actions,pause
record,,/e09d,actions,record
response,,/e09e,"actions,arrows","reply,response,arrow"
pushpin-on,,/e09f,"actions,documents","document,page,file,attachment,pin,pushpin,stick,unstick,snap,remove pin,unpin,off,on"
pushpin-off,,/e0a0,"actions,objects","pin,pushpin,stick,unstick,snap,remove pin,unpin,off,on"
unfavorite,,/e0a1,actions,"removed,not starred,empty,no favorite,add to favorite,not favorite at the moment"
learning-assistant,,/e0a2,people,"education,course,learning,e book,bookmark,open,knowledge,school,college,help,tutor,assistant,teacher,professor"
timesheet,,/e0a3,"documents,time","document,page,file,attachment,timesheet,clock,hours,days,workday"
time-entry-request,,/e0a4,time,"time,entry,request,clock,list"
list,,/e0a5,actions,"list,text,ordered"
