unicode,character,short_name,search_keyword
&#xe73b,,rotate-left-90,"rotate left, 90, rotate, left, rotate left 90, &#xe73b"
&#xe73a,,rotate-right-90,"rotate-right-90, &#xe73a"
&#xe746,,route,"route, path, start to finish, circle, dotted path, dotted, dotted line, &#xe746"
&#xe762,,rows,"rows, &#xe762"
&#xe801,,ruum,"ruum, ruum application, found in boardroom, &#xe801"
&#xe78f,,same_elements,"same_elements, same, elements, &#xe78f"
&#xe7e9,,sample-content,"sample, sample content, sample-content, shapes, &#xe7e9"
&#xe7fd,,sankey-chart,"chart, sankey, sankey chart, sanket chart widget, chart widget, charts, &#xe7fd"
&#xe612,,save,"save, save-options, save options, floppy disk, &#xe612"
&#xe613,,save-options,"save, options, &#xe613"
&#xe73d,,scale,"compare, law, justice, scale, measure, weight, balance, comparison, &#xe73d"
&#xe70d,,scatter-bubble,"chart, scatter bubble, scatter, scatter-bubble, bubble, &#xe73d"
&#xe68b,,scatter-plot,"scatterplot, chart, scatter, plot, scatter-plot, scatter plot chart, &#xe68b"
&#xe7b3,,screenshot,"screenshot, camera, &#xe7b3"
&#xe607,,search,"search, magnifier, glass, &#xe607"
&#xe621,,security,"lock, security, closed lock, secure an object, secure, object secured, &#xe621"
&#xe661,,select-all-cells,"select all cells, select all, cells, select, all, &#xe661"
&#xe671,,send,"paper airplane, send, paper plane, flight, paper, plane, fly, message, note, folded, &#xe671"
&#xe6e0,,server,"server, server box, &#xe6e0"
&#xe603,,settings,"settings, global system settings, cog, setting, cogwheel, configuration, tools, modify, customize, &#xe603"
&#xe69b,,shape,"shape, shapes, square circle triangle, add shape, add shapes, &#xe69b"
&#xe61f,,share,"share, &#xe61f"
&#xe6de,,show,"show, eye, &#xe6de"
&#xe64c,,show-hide-grid-dimension,"show, hide, grid, dimension"
&#xe755,,simulate,"simulate, monitor, computer, trend, data, integration, watch, view, watch trend, computer with line, computer with trend, &#xe755"
&#xe6ec,,single-view,"single, single view, view, single-view, &#xe6ec"
&#xe737,,slash,"slash, part of color management control, &#xe737"
&#xe803,,slider,"slider, app building, &#xe803"
&#xe7ac,,slim-arrow-down,"slim arrow down, slim arrow, down arrow, arrow-down, slim, arrow, arrow slim down, &#xe7ac"
&#xe7ae,,slim-arrow-left,"slim, arrow, left, slim arrow left, &#xe7ae"
&#xe7af,,slim-arrow-right,"slim, arrow, right, slim arrow right, &#xe7af"
&#xe7ad,,slim-arrow-up,"slim arrow up, slim arrow, up arrow, arrow-up, slim, arrow, arrow slim up,, &#xe7ad"
&#xe7cf,,small,"small, &#xe7cf"
&#xe63b,,smart-help,"smart help, smart-help, smart_help, help center, owl, help library, context sensitive help, &#xe63b"
