unicode,character,short_name,search_keyword
&#xe72b,,convert,"convert cell, convert, circle to triangle, row format, numeric to text, &#xe72b"
&#xe60d,,copy,"copy, copy an object, document, file, duplicate, text, &#xe60d"
&#xe7dd,,copy-data,"copy, copy data, data, &#xe7dd"
&#xe7f4,,copy-data-2,"copy, data, copy data, copy-data, &#xe7f4"
&#xe60e,,copy-options,"copy, copy options, copy-options, &#xe60e"
&#xe6e7,,cost_pool,"cost_pool, cost pool, money, $, money bag, bag of money, &#xe6e7"
&#xe6f1,,cross_table,"cross table, table, planning, &#xe6f1"
&#xe841,,css-editor,"css, editor, css editor, e841, &#xe841"
&#xe696,,currencies,"$, currency/currencies, currency, currencies, &#xe696"
&#xe724,,customise,"customise, wrench, builder, builder panel, stories builder panel, custom logic, &#xe724"
&#xe729,,cut,"sissors, cut, &#xe729"
&#xe63d,,dashboards,"smart discovery, smart, discovery, dashboard, dashboards, &#xe63d"
&#xe68a,,data,"data, &#xe68a"
&#xe6cd,,data-changes,"dataset, data, pencil, data change, data changes, data-changes, &#xe6cd"
&#xe82d,,data-flow,"data flow, data, dataflow, instance, process, clock, chevron, &#xe82d"
&#xe7cd,,data-save,"data-save, data save, save data, save, data, &#xe7cd"
&#xe7a3,,data-set,"data set, data, &#xe7a3"
&#xe819,,data-space-management,"data space management, data, space, management, dwc, data space management (datasphere), &#xe819"
&#xe852,,datasphere,"data warehouse, dwc, data, house, data-warehouse, datasphere, &#xe852"
&#xe818,,data-warehouse,"data warehouse, dwc, data, house, data-warehouse, &#xe818"
&#xe695,,date,"calendar, date, specific date, 14, &#xe695"
&#xe7fa,,date-time,"date, time, date-time, timestamp, &#xe7fa "
&#xe60b,,delete,"delete, permanent delete, deletion, garbage, garbage can, &#xe60b"
&#xe60c,,delete-options,"options, delete, delete options, trash can, menu, delete-options, &#xe60c"
&#xe761,,delta-first-year,"delta, first, year, delta first year, delta-first-year, &#xe761"
&#xe760,,delta-previous-year,"delta, delta previous year, previous year, &#xe760"
&#xe66d,,deployment,"deployment, &#xe66d"
&#xe629,,descending,"descending, &#xe629"
&#xe631,,designer,"designer, styling, styling panel, paint brush, &#xe631"
&#xe634,,details, "trigger details panel, details panel, details, puzzle piece, puzzle, &#xe634"
&#xe773,,device-orientation,"device orientation, device, orientation, device-orientation, &#xe773"
&#xe76d,,devices,"devices, responsive devices, responsive, desktop, tablet, mobile, phone, adaptive, cozy, compact, web app, &#xe76d"
&#xe741,,diagonal-down-border,"diagonal, down, border, diagonal down border, diagonal down, diagonal border, &#xe741"
&#xe742,,diagonal-up-border,"diagonal, up, border, diagonal up border, diagonal border, &#xe742"
&#xe7c9,,dialog,"dialog, &#xe7c9"
&#xe834,,diamond,"diamond, threshold, &#xe834"
&#xe790,,different_elements,"different elements, different-elements, circle rectangle triangle, circle, rectangle, triangle, shapes, elements different, &#xe790"
&#xe7b7,,dimension-filter,"dimension, dimension filter, filter, dimension-filter, filter dimension, filter-dimension, filter on dimension, &#xe7b7"
&#xe7b6,,dimension-member,"dimension, member, dimension member, &#xe7b6"
&#xe7b8,,dimension-swap,"dimension swap, dimension-swap, swap, dimension, &#xe7b8"
&#xe74a,,discover,"discover, &#xe74a"
&#xe7e7,,dislike,"thumbs down, thumbs, &#xe7e7"
&#xe71f,,distribute,"distribute, circle with arrows, circle, three arrows, &#xe71f"
&#xe7e1,,distribute-spacing-horizontally,"distribute, spacing, horizontal, distribute spacing, distribute spacing horizontally, &#xe7e1"
&#xe7e0,,distribute-spacing-vertically,"distribute-spacing-vertically, distribute, distribute-spacing, distribute spacing, spacing, vertically, vertical, &#xe7e0"
&#xe6aa,,donut,"donut, chart, charting, &#xe6aa"
&#xe625,,down,"arrow, down, &#xe625"
&#xe62e,,download,"download, &#xe62e"
&#xe7f1,,draft,"draft, pencil, &#xe7f1"
&#xe6ac,,drill,"drill, hierarchy, &#xe6ac"
&#xe6c7,,drill_down,"drill down the hierarchy, drill down, drill, down, &#xe6c7"
&#xe6e1,,drill_leaves,"drill, drill leaves, leaves, leaf, drill-leaf, drill-leaves, drill to leafs (planning), expand next level (bi), expand next level, drill to leafs, &#xe6e1"
&#xe6c6,,drill_up,"drill_up, drill up, drill up the hierarchy, &#xe6c6"
&#xe6a4,,driver-tree,""
&#xe7cb,,dropdown,"dropdown, drop down, dropdown widget, dropdown control, &#xe7cb"
&#xe7d2,,duster-topics,"duster, topics, duster topics, bar and donut chart file, bar and donut, &#xe7d2"
&#xe74e,,dynamic-token,"dynamic token, dynamic-token, dynamic_token, &#xe74e"
&#xe768,,edge,""
&#xe60f,,edit,"edit, pencil, edit an object, &#xe60f"
&#xe749,,edit-axis,"edit, axis, edit axis, axis edit, &#xe749"
&#xe78e,,edit-calculation,"pencil, edit, calculation, edit calculation, calculation edit, &#xe78e"
&#xe7a8,,edit-mapping,"pencil, edit, edit mapping, mapping, edit-mapping, map, &#xe7a8"
&#xe7dc,,edit-member,"edit, pencil, member, edit member, edit-member, &#xe7dc"
&#xe6b0,,edit-options,"pencil, edit, options, edit options, &#xe6b0"
&#xe7a6,,edit-table,"edit, edit table, edit-table, pencil, table, &#xe7a6"
&#xe7a5,,edit-wrangling,"pencil, edit, wrangling, edit wrangling, &#xe7a5"
&#xe7c5,,editor-comment,"editor, editor comment, comment, comments, &#xe7c5"
&#xe83c,,employee-approvals,"employee-approvals, &#xe83c"
&#xe83b,,employee-rejections,"employee, rejections, deactivation, security, users, person, cancel, remove, &#xe83b"
&#xe6a9,,end,"end, scroll to end, navigate, page, &#xe6a9"
&#xe6f0,,eraser,"eraser, &#xe6f0"
&#xe757,,error-bar,"error bar, error, bar, error bars, bars, errors, &#xe757"
&#xe7da,,event-process,"event process, event, process, event-process, &#xe7da"
&#xe674,,events,"balloon, &#xe674"
&#xe853,,excel-workbook,"excel-workbook, &#xe853"
&#xe748,,exclude,"exclude, remove, &#xe748"
&#xe774,,exception-data,"data, exception, exception data, exception-data, &#xe774"
&#xe7b0,,exit-save,"exit-save, exit save, save, exit and save, exit, save and exit, door, checkmark, &#xe7b0"
&#xe6c0,,expand_size,"expand, size, expand-size, expand_size"
&#xe65f,,expand-all,"expand all, expand, all, expand-all, &#xe65f"
&#xe70b,,explore,"explore, compass, explorer module"
&#xe6f3,,explore_view,"explore, view"
&#xe831,,explore-table,"data analyzer, table, data analyzer module, explore, explore table, &#xe831"
&#xe619 ,,export (retirement),"export, export options, cluster multiple export, &#xe619"
&#xe693,,export-options,"export, export options, options, &#xe619, cluster multiple export options, &#xe693"
&#xe72e,,external-logic,"external-logic, external logic, formula, data, special node type, special node, node, vdt, &#xe72e"
&#xe70f,,extract,"extract, extract values, values, characters from cell(s), cells, characters, &#xe70f"
&#xe82b,,fact-model,"fact, model, fact-model, fact model, &#xe82b"
&#xe81b,,fact-view,"fact-view, fact, view, fact table, dwc, datasphere, &#xe81b"
&#xe6d8,,feature,"used in geo map, feature layer, feature, blob, &#xe6d8"
&#xe783,,feed,"feed, rss feed, &#xe783"
&#xe820,,feedback,"feedback, qualtrics feedback, qualtrics, happy face, &#xe820"
&#xe700,,file,"file"
&#xe66c,,files,"files"
&#xe6be,,fill_color,"fill, color, fill color, paint bucket, &#xe6be"
&#xe65d,,fill-background-color,"fill background color, fill, background, color, fill-background, background color, background-color, &#xe65d"
&#xe846,,fill-background-color-square,"e846, fill, background, color, &#xe846"
&#xe68d,,fill-background-color-white,"fill, background, color, white, background color, fill-background-color, &#xe68d"
&#xe845,,fill-background-color-white-square,"styling, e845, fill, background, color, &#xe845"
&#xe72a,,fill-up,"fill up, fill, up, fill-up, &#xe72a"
&#xe641,,filter,"filter, &#xe641"
&#xe6c8,,filter-options,"options, filter, filter options, menu, &#xe6c8"
&#xe814,,fire (retirement),"fire, &#xe814"
&#xe74b,,fireworks,"keyinfluencer, key influencer, key, influencer, firework, fireworks, predictive, predictive workflow, &#xe74b"
&#xe6a5,,fit-to-workspace,"fit-to-workspace, fit to workspace, fit to, fit, workspace, &#xe6a5"
&#xe6f6,,flip,"flip, flip object, &#xe6f6"
&#xe726,,flip-vertically,"flip-vertically, flip vertically, flip, vertical, flip raised axis, &#xe726"
&#xe610,,folder,"folder, files, files group, file repository &#xe610"
&#xe7f6,,folder-function,"folder, function, script, functions, &#xe7f6"
&#xe836,,folder-search,"folder-search, &#xe836"
&#xe70e,,font,"font, sac, &#xe70e"
&#xe65c,,font-color,"font color, font, color, &#xe65c"
&#xe68c,,font-color-white,"font, color, white, white font color, font color white, &#xe68c"
&#xe6cf,,form-options,""
&#xe699,,formula,"all kind of formula, formula, formular bar, indicates calculation, opens calculation editor dialog, text formular bar, &#xe699"
&#xe844,,formula-account,"formula, account, &#xe844"
&#xe843,,formula-dimension,"formula, dimension, &#xe843"
&#xe842,,formula-measure,"formula, measure, calculations, calculation, &#xe842"
&#xe7d6,,full-name,"full name, abc, full-name, &#xe7d6"
&#xe608,,fullscreen,"fullscreen, go fullscreen, fullscreen chart, &#xe608"
&#xe775,,function,"function, &#xe775"
&#xe668,,gauge-bar,"gauge bar, bar, gauge, gaugebar, &#xe668"
&#xe669,,gauge-circle,"gauge, gauge circle, &#xe669"
&#xe6e6,,generic,"generic, generic perspectives, dimension, flower, &#xe6e6"
&#xe686,,geo,"geo, globe, world, geographical, earth, planet, international, global, geo dimension with hierarchies, data import identified to be geo type, geo type, &#xe686"
&#xe7cc,,global-variables,"global variables, global, variables, variable, globe, world, global-variable, global variable, prompt, script variable, &#xe7cc"
&#xe7ff,,google-sheets,"google, sheets, google sheets, google-sheets, &#xe7ff"
&#xe630,,grip-horizontal,"grip horizontal, horizontal, grip, &#xe630"
&#xe62f,,grip-vertical,"grip, grip-vertical, vertical, grip vertical, vertical move grip, &#xe62f"
&#xe721,,group,"group, &#xe721"
&#xe723,,growth-rate,"growth-rate, growth rate, growth, rate, year over year node type in vdt, node type, vdt, &#xe723"
&#xe731,,hand,"hand, &#xe731"
&#xe6ad,,heat_map,"chart, heatmap, heat map, heat, heat map chart, chart widget, &#xe6ad"
&#xe63a,,help,"question mark, question, question-mark, help, help icon, &#xe63a, questions, trigger global help, &#xe63a"
&#xe6df,,hide,"hide, show hide, eye, &#xe6df"
&#xe697,,hierarchy,"hierarchy, &#xe697"
&#xe6ed,,hierarchy_deselected,"hierarchy, hierarchy_deselect, hierarchy-deselect, deselect, &#xe6ed"
&#xe7aa,,hierarchy-child,"hierarchy-child, &#xe7aa"
&#xe7ab,,hierarchy-grand-child,"hierarchy, hierarchy grand child, child, grand, &#xe7ab"
&#xe7a9,,hierarchy-parent,"hierarchy parent, parent, hierarchy, parent in a hierarchy, &#xe7a9"
&#xe79f,,histogram,"histogram, chart, histogram chart, &#xe79f"
&#xe680,,history,"history, time, history log, &#xe680"
&#xe63c,,home,"home, house, &#xe63c"
&#xe6bc,,horizontally-aligned-object,"horizontally, aligned, object, horizontally aligned object, &#xe6bc"
&#xe6f2,,ibcs_table,"ibcs, table, tables, table styling, &#xe6f2"
&#xe6f4,,icicle,"chart, icicle, charting, chart type, &#xe6f4"
&#xe618,,import,"import, import data, bring data in, local import, &#xe618"
&#xe692,,import-options,"import-options, import options, options, import, cluster multiple import options, &#xe692"
&#xe639,,info,"info, i, information, info help, &#xe639"
&#xe717,,input-control,"input control, input-control, control, input, filter input control, filter, &#xe717"
&#xe6ce,,input-form,"input, form, input form, &#xe6ce"
&#xe73e,,inside-borders,"inside, inside-borders, borders, inside borders, borders inside, &#xe73e"
&#xe73f,,inside-horizontal-border,"inside, horizontal, border, inside horizontal border, inside-horizontal-border, &#xe73f"
&#xe740,,inside-vertical-border,"inside, vertical, border, inside vertical border, vertical border, inside-vertical, &#xe740"
&#xe7bd,,inspection,"inspection, compare note type, in review status, &#xe7bd"
&#xe848,,intelligent-lookup,"dwc, datasphere, di, intelligent-lookup, intelligent, lookup, e848, checkmark, check, mark, connection, diagram, &#xe848"
&#xe716,,intersecting-data,"intersecting data, intersecting, data, intersecting-data, &#xe716"
&#xe650,,italic,"italic, font styling, &#xe650"
&#xe734,,item-arrangement,"item-arrangement, item arrangement, item, arrangement, layout type, &#xe734"
&#xe854,,justask,"just-ask, &#xe854"
&#xe69c,,justified-aligned,"justified, aligned, justified aligned, &#xe69c"
&#xe82c,,keyboard,"keyboard, sac, mobile, search to insights voice feature, &#xe82c"
&#xe643,,kpi,"kpi, arrow, dart, dartboard, target group, goal, audience, specific, key performane indicator, key, performance, indicator, &#xe643"
&#xe759,,landscape-format,"image, placeholder, picture, hills, mountains, sun, &#xe759"
&#xe7d1,,large,"large, &#xe7d1"
&#xe6e3,,launch,"launch, launching, rocket, rocket ship, &#xe6e3"
&#xe6dc,,layers,"layers, layered items, &#xe6dc"
&#xe772,,layout,"layout, layout panel, responsive stories, responsive layout, &#xe772"
&#xe7d5,,layout-sorting,"layout sorting, sorting, layout, sorting-layout, layout-sorting, &#xe7d5"
&#xe780,,leave,"leave, door, arrow, door and arrow, arrow and door, exit, &#xe780"
&#xe651,,left-aligned,"left-aligned, left, text align, align, left align text, &#xe651"
&#xe6b8,,left-aligned-object,"left aligned object, left-aligned, aligned object, left, align, object, &#xe6b8"
&#xe655,,left-border,"border, left, left-border, &#xe655"
&#xe785,,library,"library, &#xe785"
&#xe702,,light-bulb,"light, bulb, smart features, smart insights, predictive, idea, &#xe702"
&#xe794,,lightning,"lightning, &#xe794"
&#xe6c3,,like,"like, thumbs up, to like an object, object not yet liked, like outline, &#xe6c3"
&#xe6c4,,like-filled,"like, like filled, filled in like, thumbs, thumbs up, &#xe6c4"
&#xe662,,line,"line, line chart, chart, &#xe662"
&#xe6d1,,line-double-axis,"line, line double axis, double axis, double, axis, &#xe6d1"
&#xe672,,link,"link, &#xe672"
&#xe83a,,linked-analysis-tree,"linked, analysis, tree, linked analysis, analysis tree, nodes, analytics app, analytics application, linked analysis panel, &#xe83a"
&#xe79d,,linked-model,"linked-model, link, linked model, model, linked, &#xe79d"
&#xe79e,,linked-variable,"linked, variable, link, linked-variable, linked variable, prompt, script variable, &#xe79e"
&#xe733,,list,"list, text, ordered, &#xe733"
&#xe6a0,,list-bulleted,"bullet points, bulleted list, list, list bulleted, text, text list, &#xe6a0"
&#xe7f5,,list-hierarchy,"list, hierarchy, list hierarchy, &#xe7f5"
&#xe6a1,,list-numbered,"list, numbered, text, 123, 1,2,3, 1 , 2, 3, text edit, rich-text, numbered list, list-numbered, &#xe6a1"
&#xe7f2,,list-numbered-RTL,"list-numbered-rtl, list, numbered, rtl, &#xe7f2"
&#xe81d,,live-data-set,"live, data set, data, live dataset, &#xe81d"
&#xe7ee,,live-model,"live, model, live model, live models, &#xe7ee"
&#xe812,,live-table,"live, live table, table, live-table, table live, table-live, &#xe812"
&#xe6f7,,located,"located, location, pin location, geo location, &#xe6f7"
&#xe6ee,,location-pin,"location, pin, pin location, location indicator, location marker, &#xe6ee"
&#xe821,,lock-archive,"locked, archive, locked archive, lock, locked-archive, &#xe821"
&#xe71a,,lock-cell,"lock, cell, lock cell, table, &#xe71a"
&#xe7b2,,lock-drill,"lock ability for cell, lock-drill, lock, person, drill, &#xe7b2"
&#xe667,,map,"map, &#xe667"
&#xe703,,map_geo,"geo, map, geo map, heat map for geo, geo heat map, &#xe703"
&#xe7a7,,mapping,"mapping, &#xe7a7"
&#xe6fa,,marimekko,"marimekko, chart, charting, &#xe6fa"
&#xe6d9,,marker,"marker, &#xe672"
&#xe7ce,,max-screen,"max, screen, max screen, &#xe7ce"
&#xe6fe,,measure,"measure, ruler, &#xe6fe"
&#xe7b9,,measure-filter,"measure, filter, measure filter, measure-filter, &#xe7b9"
&#xe7ba,,measure-swap,"measure, measure swap, swap, measure_swap, &#xe7ba"
&#xe7d0,,medium,"medium, &#xe7d0"
&#xe766,,member-order,"member-order, &#xe766"
&#xe600,,menu,"overall system menu in the application shell, system menu, menu, &#xe600"
&#xe601,,menu-options,"menu, menu-options, options, &#xe601"
&#xe708,,merge,"merge, &#xe708"
&#xe64a,,merge-cells,"merge-cells, merge cells, merge, cells, &#xe64a"
&#xe683,,messages,"messages, message, envelope, closed envelope, &#xe683"
&#xe767,,microphone,"microphone, &#xe767"
&#xe6e2,,minus,"minus, &#xe6e2"
&#xe76c,,mobile,"mobile, phone, iphone, smart phone, portrait, tablet, responsive, cozy, &#xe76c"
&#xe63e,,models,"model, models, cube, database, big data, complex, complicated, simple, information, backend, model wizard, &#xe63e"
&#xe69a,,models-imported,"models imported, model, imported model, imported models, &#xe69a"
&#xe6f5,,monitor,"monitor, glasses, eye glasses, monitor data, &#xe6f5"
&#xe810,,moon,"moon, &#xe810"
&#xe72d,,move,"move, move cursor, move items, move items in vdt, move node to another lane, &#xe72d"
&#xe827,,move-bottom,"move to top of list, move, bottom, move bottom, &#xe827"
&#xe718,,move-control-to-bar,"move, control, to bar, place up top, move-control-to-bar, pin to top, pin-to-top, &#xe718"
&#xe826,,move-top,"move to top, move to top of list, move top, top, move, &#xe826"
&#xe76f,,multi_selection,"multi select, multi selection, list, check list, multi_selection, &#xe76f"
&#xe7c2,,multi_selection_2,"multi selection, mobile, &#xe7c2"
&#xe7f3,,multi_selection-RTL,"multi select, multi selection, list, check list, multi_selection, rtl, &#xe7f3"
&#xe6d6,,network,"diagram, network, &#xe6d6"
&#xe609,,new,"new, create, add a new object, new object, add new, &#xe609"
&#xe670,,new-calculation,"new, calculation, new calculation, calculation new, new-calculation, calculation-new, &#xe670"
&#xe75f,,new-comment,"new-comment, &#xe75f"
&#xe71c,,new-filter,"filter, filter new, new, new filter, &#xe71c"
&#xe765,,new-member,"new-member, new member, new, member, &#xe765"
&#xe7db,,new-member-edit,"pencil, new member edit, new-member-edit, new member, member edit, &#xe7db"
&#xe7a1,,new-model,"new model, model, new, new-model, model new, &#xe7a1"
&#xe7be,,new-note,"new-note, new note, new, note, add, new_note, &#xe7be"
&#xe60a,,new-options,"new-options, new, options, &#xe60a"
&#xe799,,new-table,"new table, new, table, new-table, &#xe799"
&#xe81c,,new-view,"new, view, new view, &#xe81c"
&#xe627,,next,"arrow, next, &#xe627"
&#xe7de,,no-assignee,"person, question mark, no assignee, no-assignee, none assignee, &#xe7de"
&#xe654,,no-border,"border, no border, no-border, none border, &#xe654"
&#xe793,,no-edit,"pencil, no edit, edit, no-edit, &#xe793"
&#xe6a7,,normalscreen,"normal screen, normal, screen, arrows, minimize, &#xe6a7"
&#xe7d3,,notes,"notes, note, clip board, meeting notes, notes for events, &#xe7d3"
