short_name,character,unicode,search_keyword
collected-change-request,,0xe069,"request,collection,layers stacked"
draw-freehand,,0xe06A,"draw,shape,create,freehand"
draw-circle,,0xe06B,"draw,shape,create,circle"
completed,,0xe06C,"analytics,chart,display,data,comparison,multiple"
answered,,0xe06D,"answered,bubble"
traffic-cone,,0xe06E,"traffic,logistics,cone"
traffic-lights,,0xe06F,"traffic,logistics,traffic lights"
container,,0xe070,"traffic,logistics,container,freight,shipping"
container-loading,,0xe071,"traffic,logistics,container,freight,shipping,load"
traffic-jam,,0xe072,"traffic,logistics,traffic jam,road conjestion"
products,,0xe073,"product,commodity,goods,stock,merchandise,package"
sidepanel,,0xe074,"screen,split,two,area,split app,side panel"
split-screen,,0xe075,"screen,split,two,area,split app,top bottom,horizontal split,analytics"
truck-driver,,0xe076,
keep-segment,,0xe077,"segments,data,marketing,campaign,keep,approve"
exclude-segment,,0xe078,"segments,data,marketing,campaign,clear,approve,remove,cancel,x"
separate-segments,,0xe079,"segments,data,marketing,campaign,separate"
distribute-segments,,0xe07A,"segments,data,marketing,campaign,distribute"
next-open-item,,0xe07B,"navigation,jump,shift,next,arrow,queue"
where-used,,0xe07C,"arrows,directions,move,forward"
outbound-delivery,,0xe07D,"arrow,truck,move,delivery,forward"
outbound-delivery-inactive,,0xe07E,"circle,stroke,dot,status"
outbound-delivery-active,,0xe07F,"circle,fill,dot,status"
target,,0xe080,"arrow,download,down,import"
source,,0xe081,"arrow,upload,up,export"
material,,0xe082,"screw,data,material"
due-date,,0xe083,"arrow,calendar,due,date,appointment,next"
overdue,,0xe084,"arrow,calendar,due,date,appointment,previous"
set-as-default,,0xe085,"tick,setting,yes"
face-very-bad,,0xe086,"smiley,emotions,emoji,bad"
face-bad,,0xe087,"smiley,emotions,emoji,sad"
face-skeptical,,0xe088,"smiley,emotions,emoji,skeptical"
face-neutral,,0xe089,"smiley,emotions,emoji,neutral"
face-astonished,,0xe08A,"smiley,emotions,emoji,astonished"
face-happy,,0xe08B,"face,emoticon,smile,positive,round"
face-very-happy,,0xe08C,"face,emoticon,smile,positive,round"
face-awful,,0xe08D,"face,sad,emoticon,negative,round"
face-devastated,,0xe08E,"face,sad,emoticon,negative,round"
face-okey-dokey,,0xe08F,"face,emoticon,smile,blink,positive,round"
alarm,,0xe090,"attention,bell,noise"
activate,,0xe091,"magic,wand,select"
segment-preview-reference-objects,,0xe092,dots
radius,,0xe093,"plus,add"
polygon-black,,0xe094,"geometric body,measurement,geometry"
polygon-white,,0xe095,"geometric body,measurement,geometry"
polygon,,0xe096,"connection,geometry,network,connected,dots"
no-filter,,0xe097,"remove,minus,no"
grip,,0xe098,"pattern,move,grab,take,drag"
water,,0xe09A,"drop,oil,energy"
gas,,0xe09B,"fire,flame,energy"
liquid,,0xe09C,"drop,water,energy"
gas-2,,0xe09d,"fire,flame,energy,cooker"
water-2,,0xe09e,"drop,tap,oil,control,close,open"
operator,,0xe09f,"person,individual,user,customer,human,me,security,helmet"
target-filter,,0xe0a0,"round,circle,cross,segment"
equipment,,0xe0A1,"pump,engine,pipeline,generator"
gis-layer,,0xe0A2,"world,round,map"
section,,0xe0A3,"people,person,group,team,selection,part"
kohorte,,0xe0A4,"people,person,group,team,selection,part,data,folder,index,card"
